brand,rule_name,vendors,brands,days,start_date,end_date,discount,kickback,categories,stores,include_phrases,excluded_phrases,include_units,enabled,notes
Almora,,,Almora,Sunday;Saturday,,,50%,30%,,,,,False,True,
Ball Family Farms,,Ball Family Farms Corporation;Garden Of Weeden;Garden Of Weeden Inc.,Ball Family Farms,Saturday,,,50%,30%,,,,,False,True,
Blem,,SSAL HORTICULTURE LLC;LB Atlantis LLC,BLEM,Thursday,,,50%,30%,Pre-Rolls;Eighths,,,,False,True,
CLSICS,,"KIVA / LCISM CORP;Garden Of Weeden Inc.;Vino & Cigarro, LLC",CLSICS,Tuesday,,,50%,30%,,,,,False,True,
COTC,,,COTC |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,40%,0%,,,,,False,True,
Cake,,"ThirtyOne Labs, LLC",Cake |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,40%,0%,,,,,False,True,
Cam,Cam - Friday Saturday (50/12),"California Artisanal Medicine (CAM);NC INVESTMENT GROUP, LLC;Garden Of Weeden Inc.;Garden Of Weeden",CAM |;CAM|;CAM,Friday;Saturday,,,50%,12%,,,,,False,True,
Cam,Cam - Sun-Thu (40/0),"California Artisanal Medicine (CAM);NC INVESTMENT GROUP, LLC;Garden Of Weeden Inc.;Garden Of Weeden",CAM |;CAM|;CAM,Sunday;Monday;Tuesday;Wednesday;Thursday,,,40%,0%,,,,,False,True,
Cannabiotix (CBX),,,CBX |,Tuesday,,,50%,30%,,,,14G,False,True,
Claybourne,,,Claybourne |,Monday;Tuesday;Wednesday;Thursday;Friday;Saturday;Sunday,,,50%,30%,,,,,False,True,
Dixie,,"Broadway Alliance, LLC;BRB California LLC;Garden Of Weeden Inc.;Hilife Group MV , LLC;Garden Of Weeden;Mary's Tech CA, Inc.",Dixie,Saturday;Thursday,,,50%,30%,,,,,False,True,
Drops,,Garden Of Weeden;Garden Of Weeden Inc.,Drops |,Sunday,,,50%,30%,,,,,False,True,
Emerald Sky,,"KIVA / LCISM CORP;Garden Of Weeden Inc.;Vino & Cigarro, LLC",Emerald Sky,Tuesday;Thursday,,,50%,30%,,,,,False,True,
Eureka,,Light Box Leasing Corp.,Eureka |,Monday;Tuesday,,,50%,30%,,,,,False,True,
Gelato,,,Gelato |,Wednesday;Saturday,,,50%,30%,,,,,False,True,
